UNIPROT_ACCESSION	Name	Species
Q3SZX8	coiled-coil domain containing 25	Bos taurus
O81884	AT4G33670	Arabidopsis thaliana
P23978	solute carrier family 6 (neurotransmitter transporter, GABA), member 1	Rattus norvegicus
A0JP86	laminin, gamma 1	Xenopus (Silurana) tropicalis
P27169	paraoxonase 1	Homo sapiens
Q86XE3	EF-hand domain family, member A2	Homo sapiens
P20070	cytochrome b5 reductase 3	Rattus norvegicus
Q99LE6	ATP-binding cassette, sub-family F (GCN20), member 2	Mus musculus
P70549	solute carrier family 8 (sodium/calcium exchanger), member 3	Rattus norvegicus
Q561R7	general transcription factor IIH, polypeptide 3	Rattus norvegicus
Q29504	ubiquitin-activating enzyme E1	Oryctolagus cuniculus
Q5U4S8	Ceramide glucosyltransferase-B	Xenopus laevis
Q9Y2D8	synovial sarcoma, X breakpoint 2 interacting protein	Homo sapiens
P30042	chromosome 21 open reading frame 33	Homo sapiens
Q96PS8	aquaporin 10	Homo sapiens
Q7SIB2	collagen, type IV, alpha 1	Bos taurus
Q5UQP2	Uncharacterized protein L446	Acanthamoeba polyphaga mimivirus
Q68CZ1	RPGRIP1-like	Homo sapiens
Q7TMS5	ATP-binding cassette, sub-family G (WHITE), member 2	Mus musculus
P18395	cold shock domain containing E1, RNA binding	Rattus norvegicus
Q6PAX7	hypothetical protein MGC68560	Xenopus laevis
Q9TU03	Rho GDP dissociation inhibitor (GDI) beta	Bos taurus
Q9UKP5	ADAM metallopeptidase with thrombospondin type 1 motif, 6	Homo sapiens
Q2NL31	methylthioribose-1-phosphate isomerase homolog (S. cerevisiae)	Bos taurus
P00367	glutamate dehydrogenase 1	Homo sapiens
Q21974	UNCoordinated	Caenorhabditis elegans
Q3SYW2	complement component 2	Bos taurus
Q6DRC4	eukaryotic translation initiation factor 3, subunit G	Danio rerio
Q6NS52	diacylglycerol kinase, beta	Mus musculus
Q6NZJ6	eukaryotic translation initiation factor 4, gamma 1	Mus musculus
Q61824	a disintegrin and metallopeptidase domain 12 (meltrin alpha)	Mus musculus
O05218	Putative gamma-glutamyltransferase ywrD	Bacillus subtilis
Q9VCA2	Organic cation transporter	Drosophila melanogaster
Q8BHR2	ecto-NOX disulfide-thiol exchanger 1	Mus musculus
Q9JJ46	emopamil binding protein (sterol isomerase)	Rattus norvegicus
P82343	renin binding protein	Mus musculus
Q29611	ceroid-lipofuscinosis, neuronal 3	Canis lupus
Q3ZCH0	heat shock 70kDa protein 9 (mortalin)	Bos taurus
P26638	seryl-aminoacyl-tRNA synthetase	Mus musculus
Q28FF3	myosin light polypeptide 5 regulatory	Xenopus (Silurana) tropicalis
Q13905	Rap guanine nucleotide exchange factor (GEF) 1	Homo sapiens
Q9H3S4	thiamin pyrophosphokinase 1	Homo sapiens
Q99536	vesicle amine transport protein 1 homolog (T. californica)	Homo sapiens
Q8IUX8	EGF-like-domain, multiple 6	Homo sapiens
O75486	suppressor of Ty 3 homolog (S. cerevisiae)	Homo sapiens
P42577	Soma ferritin	Lymnaea stagnalis
P13716	aminolevulinate, delta-, dehydratase	Homo sapiens
A8E7G4	family with sequence similarity 45, member A	Danio rerio
Q49B93	solute carrier family 5 (sodium/glucose cotransporter), member 12	Mus musculus
P70388	RAD50 homolog (S. cerevisiae)	Mus musculus
Q9NTM9	cutC copper transporter homolog (E. coli)	Homo sapiens
Q5U2S1	Nedd4 family interacting protein 1	Rattus norvegicus
P81134	ATPase, H+ transporting, lysosomal accessory protein 2	Bos taurus
Q4KLG9	zinc finger, AN1 type domain 2B	Rattus norvegicus
P26884	FK506 binding protein 3, 25kDa	Bos taurus
Q4KM79	dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)	Rattus norvegicus
Q8JG30	sulfotransferase family, cytosolic, 1B, member 1	Gallus gallus
Q6PHY8	selenoprotein T, 1b	Danio rerio
P00029	Cytochrome c	Asterias rubens
Q921M3	splicing factor 3b, subunit 3	Mus musculus
Q9ULZ9	matrix metallopeptidase 17 (membrane-inserted)	Homo sapiens
Q6KAR6	exocyst complex component 3	Mus musculus
Q5ZL23	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein	Gallus gallus
O46373	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	Oryctolagus cuniculus
Q9Z2F6	B-cell leukemia/lymphoma 3	Mus musculus
Q5PQS6	similar to RIKEN cDNA 1500002O20	Rattus norvegicus
Q9UBI9	headcase homolog (Drosophila)	Homo sapiens
P40792	Ras-related protein Rac1	Drosophila melanogaster
Q9ESE1	LPS-responsive beige-like anchor	Mus musculus
Q29041	ficolin	Sus scrofa
Q9GZT4	serine racemase	Homo sapiens
Q64319	solute carrier family 3, member 1	Rattus norvegicus
Q28BM0	dymeclin	Xenopus (Silurana) tropicalis
Q9H0H3	kelch-like 25 (Drosophila)	Homo sapiens
Q5RCS0	ATG9 autophagy related 9 homolog A (S. cerevisiae)	Pongo abelii
Q8IVF7	formin-like 3	Homo sapiens
Q6GL11	chromatin modifying protein 4B	Xenopus (Silurana) tropicalis
Q9Y566	SH3 and multiple ankyrin repeat domains 1	Homo sapiens
P08582	antigen p97 (melanoma associated) identified by monoclonal antibodies 133.2 and 96.5	Homo sapiens
Q29RI0	chaperone, ABC1 activity of bc1 complex homolog (S. pombe)	Bos taurus
Q8F7W8	Peptide methionine sulfoxide reductase msrB	Leptospira interrogans
Q29RN6	suppressor of cytokine signaling 5	Bos taurus
P05183	cytochrome P450, family 3, subfamily a, polypeptide 2	Rattus norvegicus
Q90744	N-acetylgalactosaminidase, alpha-	Gallus gallus
P09848	lactase	Homo sapiens
P06027	Echinoidin	Anthocidaris crassispina
Q92544	transmembrane 9 superfamily protein member 4	Homo sapiens
Q9TZM3	Leucine-rich repeats, Ras-like domain, Kinase	Caenorhabditis elegans
P25325	mercaptopyruvate sulfurtransferase	Homo sapiens
Q32NT4	hypothetical protein LOC398462	Xenopus laevis
P59325	similar to Eukaryotic translation initiation factor 5; eukaryotic translation initiation factor 5	Mus musculus
Q66HA4	Tax1 (human T-cell leukemia virus type I) binding protein 1	Rattus norvegicus
Q8K4S1	phospholipase C, epsilon 1	Mus musculus
Q5PRC1	lipoma HMGIC fusion partner	Danio rerio
Q9UKG1	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1	Homo sapiens
Q6PFQ2	eukaryotic translation initiation factor 3, subunit C	Danio rerio
Q98TX3	programmed cell death 4 (neoplastic transformation inhibitor)	Gallus gallus
P25867	effete	Drosophila melanogaster
Q9NZJ4	spastic ataxia of Charlevoix-Saguenay (sacsin)	Homo sapiens
Q9Y4P3	transducin (beta)-like 2	Homo sapiens
Q4V8S3	si:dkey-60a16.5	Danio rerio
Q08209	protein phosphatase 3 (formerly 2B), catalytic subunit, alpha isoform	Homo sapiens
O94985	calsyntenin 1	Homo sapiens
O95478	hypothetical gene supported by NM_014886; TGF beta-inducible nuclear protein 1; similar to TGF beta-inducible nuclear protein 1	Homo sapiens
Q8BGV4	cDNA sequence BC019943	Mus musculus
Q8K4T5	dual specificity phosphatase 19	Mus musculus
P97433	Rho-guanine nucleotide exchange factor	Mus musculus
Q3ZBH0	chaperonin containing TCP1, subunit 2 (beta)	Bos taurus
P19182	interferon-related developmental regulator 1	Mus musculus
Q28199	cyclin-dependent kinase 5, regulatory subunit 1 (p35)	Bos taurus
Q8K4C0	flavin containing monooxygenase 5	Rattus norvegicus
O35488	solute carrier family 27 (fatty acid transporter), member 2	Mus musculus
P01024	similar to Complement C3 precursor; complement component 3; hypothetical protein LOC100133511	Homo sapiens
P56489	cholinergic receptor, muscarinic 1	Macaca mulatta
Q9GL24	cathepsin L2	Canis lupus
O70497	ficolin B	Mus musculus
Q501L1	hypothetical protein mgc108476	Xenopus (Silurana) tropicalis
A2AVA0	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	Mus musculus
Q9H2U1	DEAH (Asp-Glu-Ala-His) box polypeptide 36	Homo sapiens
A7Y2W8	glycine transporter 1	Xenopus laevis
Q9UGM3	deleted in malignant brain tumors 1	Homo sapiens
P60901	proteasome (prosome, macropain) subunit, alpha type 6	Rattus norvegicus
Q4G0U5	primary ciliary dyskinesia protein 1	Homo sapiens
O43242	proteasome (prosome, macropain) 26S subunit, non-ATPase, 3	Homo sapiens
Q06806	tyrosine kinase with immunoglobulin-like and EGF-like domains 1	Mus musculus
P23975	solute carrier family 6 (neurotransmitter transporter, noradrenalin), member 2	Homo sapiens
Q761V0	similar to Sodium- and chloride-dependent glycine transporter 2 (GlyT2) (GlyT-2) (Solute carrier family 6 member 5); solute carrier family 6 (neurotransmitter transporter, glycine), member 5	Mus musculus
Q5ZJK8	chaperonin containing TCP1, subunit 7 (eta)	Gallus gallus
Q00945	Conopressin/neurophysin	Lymnaea stagnalis
O88281	multiple EGF-like-domains 6	Rattus norvegicus
P28648	Cd63 molecule	Rattus norvegicus
P49013	fibropellin c	Strongylocentrotus purpuratus
Q9C0D6	FH2 domain containing 1	Homo sapiens
Q5RCC9	H3 histone, family 3B (H3.3B)	Pongo abelii
Q9Y620	RAD54 homolog B (S. cerevisiae)	Homo sapiens
P54613	protein phosphatase 2 (formerly 2A), regulatory subunit A, beta isoform	Sus scrofa
Q8K4L3	supervillin	Mus musculus
Q9W4P5	V-type proton ATPase subunit d 1	Drosophila melanogaster
Q9UQ35	serine/arginine repetitive matrix 2; hypothetical LOC100132779	Homo sapiens
Q9D8N3	transmembrane protein 86A	Mus musculus
Q95XZ6	Y43H11AL.2	Caenorhabditis elegans
P42357	histidine ammonia-lyase	Homo sapiens
Q0V9E9	SET domain containing (lysine methyltransferase) 8	Xenopus (Silurana) tropicalis
Q9WTR6	solute carrier family 7 (cationic amino acid transporter, y+ system), member 11	Mus musculus
Q90593	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)	Gallus gallus
Q9TUG2	SKI	Equus caballus
Q9BYN7	zinc finger protein 341	Homo sapiens
P23471	protein tyrosine phosphatase, receptor-type, Z polypeptide 1	Homo sapiens
Q3MHL7	chaperonin containing TCP1, subunit 6A (zeta 1)	Bos taurus
P46023	G-protein coupled receptor GRL101	Lymnaea stagnalis
Q6DCX5	MGC80576 protein	Xenopus laevis
P41234	ATP-binding cassette, sub-family A (ABC1), member 2	Mus musculus
Q5I085	hypothetical LOC496958	Xenopus (Silurana) tropicalis
A9MH27	Glyoxylate/hydroxypyruvate reductase A	Salmonella enterica
Q9QZU7	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1	Rattus norvegicus
Q29499	acetylcholinesterase	Oryctolagus cuniculus
Q86Y82	syntaxin 12	Homo sapiens
P13216	ferredoxin 1	Gallus gallus
Q3UDK1	TRAF type zinc finger domain containing 1	Mus musculus
Q641Z2	protein tyrosine phosphatase, non-receptor type 9	Rattus norvegicus
Q0P4S0	FYVE type zinc finger containing protein (XE998)	Xenopus (Silurana) tropicalis
P49088	asparagine synthetase	Rattus norvegicus
Q6RUV5	ras-related C3 botulinum toxin substrate 1	Rattus norvegicus
P27463	aldehyde dehydrogenase 1 family, member A1	Gallus gallus
P08635	oleoyl-ACP hydrolase	Rattus norvegicus
Q8BX70	vacuolar protein sorting 13C (yeast)	Mus musculus
P21836	acetylcholinesterase	Mus musculus
Q8BYI9	tenascin R	Mus musculus
P70541	eukaryotic translation initiation factor 2B, subunit 3 gamma	Rattus norvegicus
Q8BHT7	RGP1 retrograde golgi transport homolog (S. cerevisiae)	Mus musculus
Q03347	runt related transcription factor 1	Mus musculus
Q5ZKM1	FtsJ homolog 3 (E. coli)	Gallus gallus
Q90XD2	agmatine ureohydrolase (agmatinase)	Gallus gallus
Q7SXS8	zgc:101819	Danio rerio
P10079	fibropellin I	Strongylocentrotus purpuratus
Q99L45	similar to Eif2s2 protein; eukaryotic translation initiation factor 2, subunit 2 (beta)	Mus musculus
Q9ES00	ubiquitination factor E4B, UFD2 homolog (S. cerevisiae)	Mus musculus
Q5ZKR7	acyl-CoA synthetase bubblegum family member 2	Gallus gallus
B5DEQ3	X-prolyl aminopeptidase (aminopeptidase P) 3, putative	Rattus norvegicus
Q8BGT0	osteopetrosis associated transmembrane protein 1	Mus musculus
Q5R511	heat shock 70kDa protein 9 (mortalin)	Pongo abelii
P22232	FIB	Xenopus laevis
Q3V1H3	hephaestin-like 1	Mus musculus
P11611	protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform	Oryctolagus cuniculus
Q9R0S2	matrix metallopeptidase 24	Mus musculus
P49615	cyclin-dependent kinase 5	Mus musculus
P62321	small nuclear ribonucleoprotein polypeptide F	Xenopus laevis
Q8BYK4	retinol dehydrogenase 12	Mus musculus
P08594	Aqualysin-1	Thermus aquaticus
Q6UB99	ankyrin repeat domain 11; hypothetical protein LOC100128265	Homo sapiens
Q61321	sine oculis-related homeobox 4 homolog (Drosophila)	Mus musculus
P15505	glycine dehydrogenase (decarboxylating)	Gallus gallus
Q9QX47	Son DNA binding protein	Mus musculus
P35822	protein tyrosine phosphatase, receptor type, K	Mus musculus
Q6AZN6	phosphoinositide-3-kinase, class 3	Xenopus laevis
Q8BX05	glycerol kinase 5 (putative)	Mus musculus
P53804	tetratricopeptide repeat domain 3; tetratricopeptide repeat domain 3-like	Homo sapiens
P47736	RAP1 GTPase activating protein	Homo sapiens
P48818	acyl-coenzyme A dehydrogenase, very long chain	Bos taurus
P26932	calponin alpha	Gallus gallus
Q5EAJ7	major vault protein	Strongylocentrotus purpuratus
Q99K85	similar to Phosphoserine aminotransferase 1; phosphoserine aminotransferase 1	Mus musculus
A7MB54	H2.0-like homeobox	Bos taurus
Q8VDM4	predicted gene 5422; proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	Mus musculus
A2VDS1	selenocysteine lyase	Bos taurus
Q5R9A7	G protein-coupled receptor 155	Pongo abelii
Q9D8N6	predicted gene 8802; lin-37 homolog (C. elegans)	Mus musculus
Q6PEH8	mediator of RNA polymerase II transcription, subunit 25 homolog (yeast)	Danio rerio
Q60636	PR domain containing 1, with ZNF domain	Mus musculus
Q5RB37	inter-alpha (globulin) inhibitor H3	Pongo abelii
O35464	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A	Mus musculus
P48601	Proteasome 26S subunit subunit 4 ATPase	Drosophila melanogaster
Q9BWU0	solute carrier family 4 (anion exchanger), member 1, adaptor protein	Homo sapiens
Q5RAV6	RAB6A, member RAS oncogene family	Pongo abelii
Q5ZIV1	myotubularin related protein 2	Gallus gallus
O61367	arginine kinase	Apis mellifera
Q9VZI3	Fermitin 1	Drosophila melanogaster
Q9WUN2	TANK-binding kinase 1	Mus musculus
Q2LAP6	testis derived transcript	Rattus norvegicus
Q7ZUP1	family with sequence similarity 46, member C	Danio rerio
Q8R0A7	RIKEN cDNA 6430548M08 gene	Mus musculus
Q6PCS4	Rho GTPase activating protein 29	Danio rerio
P49109	flavin containing monooxygenase 5	Cavia porcellus
Q6DHL4	zgc:92241	Danio rerio
Q5M7F8	UPF0573 protein A	Xenopus laevis
Q6UWV6	ectonucleotide pyrophosphatase/phosphodiesterase 7	Homo sapiens
Q5I0J5	MIT, microtubule interacting and transport, domain containing 1	Rattus norvegicus
O60285	NUAK family, SNF1-like kinase, 1	Homo sapiens
Q6GQ29	MGC80390 protein	Xenopus laevis
O84402	Ribonuclease R	Chlamydia trachomatis
Q6PB06	Probable phosphotransferase LOC123688 homolog	Xenopus laevis
Q5R6X7	chromobox homolog 3 (HP1 gamma homolog, Drosophila)	Pongo abelii
O00482	nuclear receptor subfamily 5, group A, member 2	Homo sapiens
Q9CZP0	UFM1-specific peptidase 1	Mus musculus
Q9Y5Y0	feline leukemia virus subgroup C cellular receptor 1	Homo sapiens
Q5RE48	AKT interacting protein	Pongo abelii
Q5QQ56	xylosyltransferase I	Canis lupus
Q8NBN7	retinol dehydrogenase 13 (all-trans/9-cis)	Homo sapiens
Q9WU22	protein tyrosine phosphatase, non-receptor type 4	Mus musculus
Q69BJ8	Cytochrome b-c1 complex subunit Rieske, mitochondrial	Lagothrix lagotricha
Q09575	Uncharacterized protein K02A2.6	Caenorhabditis elegans
Q6UX65	DNA-damage regulated autophagy modulator 2	Homo sapiens
Q9N2I9	uncoupling protein 3 (mitochondrial, proton carrier)	Canis lupus
P41386	Tubulin beta chain	Haliotis discus
Q8R0S2	IQ motif and Sec7 domain 1	Mus musculus
Q7TQI7	ankyrin repeat and BTB (POZ) domain containing 2	Mus musculus
Q1HG43	dual oxidase maturation factor 1	Homo sapiens
Q29RH4	THO complex 3	Bos taurus
Q0VA16	WD domain containing protein like, GAstrulation Defective GAD-1 (69.0 kD) (gad-1)	Xenopus (Silurana) tropicalis
Q9D2Y4	mixed lineage kinase domain-like	Mus musculus
Q6ZV73	FYVE, RhoGEF and PH domain containing 6	Homo sapiens
Q9QUR6	prolyl endopeptidase	Mus musculus
Q8BGC3	solute carrier family 16 (monocarboxylic acid transporters), member 12	Mus musculus
Q91VS7	microsomal glutathione S-transferase 1	Mus musculus
P41383	Tubulin alpha-2/alpha-4 chain	Patella vulgata
Q5ZJR8	ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	Gallus gallus
Q8WX92	cofactor of BRCA1	Homo sapiens
O54988	STE20-like kinase (yeast)	Mus musculus
Q91YE3	EGL nine homolog 1 (C. elegans)	Mus musculus
Q04861	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1	Gallus gallus
Q2KIA4	stearoyl-CoA desaturase 5	Bos taurus
Q9U5L1	GTP-binding protein	Drosophila melanogaster
Q9VZ23	GTP-binding nuclear protein Ran	Drosophila melanogaster
A9UMS3	prohibitin 2	Xenopus (Silurana) tropicalis
Q80U30	C-type lectin domain family 16, member A	Mus musculus
Q8JFP1	eukaryotic translation initiation factor 4A, isoform 2	Gallus gallus
Q8P3H1	Xylose isomerase 1; Xylose isomerase 2	Xanthomonas campestris
Q7L622	G2/M-phase specific E3 ubiquitin ligase	Homo sapiens
Q6PCJ9	hypothetical protein MGC68884	Xenopus laevis
Q8IY22	c-Maf-inducing protein	Homo sapiens
Q0P563	hypothetical protein LOC613571	Bos taurus
Q28HN4	hypothetical protein LOC549250	Xenopus (Silurana) tropicalis
Q66T02	pleckstrin homology domain containing, family G (with RhoGef domain) member 5	Mus musculus
Q3UMR5	coiled-coil domain containing 109A	Mus musculus
A4IGP0	hypothetical protein LOC100037885	Xenopus (Silurana) tropicalis
P10809	heat shock 60kDa protein 1 (chaperonin) pseudogene 5; heat shock 60kDa protein 1 (chaperonin) pseudogene 6; heat shock 60kDa protein 1 (chaperonin) pseudogene 1; heat shock 60kDa protein 1 (chaperonin) pseudogene 4; heat shock 60kDa protein 1 (chaperonin)	Homo sapiens
O05408	Uncharacterized oxidoreductase yrpG	Bacillus subtilis
Q9YHT4	aminolevulinate, delta-, synthetase 2	Danio rerio
Q96P48	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1	Homo sapiens
Q9D994	WD repeat domain 38	Mus musculus
Q32KH9	arylsulfatase G	Canis lupus
P46471	proteasome (prosome, macropain) 26S subunit, ATPase 2	Mus musculus
P42125	dodecenoyl-Coenzyme A delta isomerase (3,2 trans-enoyl-Coenyme A isomerase)	Mus musculus
O00232	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12	Homo sapiens
O43196	mutS homolog 5 (E. coli)	Homo sapiens
Q66JF3	mknk1 protein	Xenopus (Silurana) tropicalis
Q9BXM7	PTEN induced putative kinase 1	Homo sapiens
Q8TE73	dynein, axonemal, heavy chain 5	Homo sapiens
Q4KMD3	small nuclear ribonucleoprotein 35 (U11/U12)	Danio rerio
P53992	SEC24 family, member C (S. cerevisiae)	Homo sapiens
Q13454	tumor suppressor candidate 3	Homo sapiens
Q9NVP1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18	Homo sapiens
A7RM20	Eukaryotic translation initiation factor 3 subunit I	Nematostella vectensis
Q96P53	WD repeat and FYVE domain containing 2	Homo sapiens
Q5JR59	KIAA0774	Homo sapiens
P53395	dihydrolipoamide branched chain transacylase E2	Mus musculus
Q94887	Neurexin IV	Drosophila melanogaster
Q9NR30	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21	Homo sapiens
P14733	lamin B1	Mus musculus
Q9R144	protein arginine N-methyltransferase 2	Mus musculus
O95238	SAM pointed domain containing ets transcription factor	Homo sapiens
Q8K268	ATP-binding cassette, sub-family F (GCN20), member 3	Mus musculus
P41971	ELK3, member of ETS oncogene family	Mus musculus
P28480	t-complex 1	Rattus norvegicus
Q94738	97 kDa heat shock protein	Strongylocentrotus franciscanus
Q4PLW0	adipose differentiation-related protein	Sus scrofa
Q9BT23	LIM domain containing 2	Homo sapiens
O55029	coatomer protein complex, subunit beta 2 (beta prime)	Mus musculus
Q6DGF4	zinc finger, AN1-type domain 6	Rattus norvegicus
O08700	vacuolar protein sorting 45 homolog (S. cerevisiae)	Rattus norvegicus
Q80W93	hydrocephalus inducing	Mus musculus
P21129	solute carrier family 10 (sodium/bile acid cotransporter family), member 3	Mus musculus
Q28DL4	TNF receptor-associated factor 6	Xenopus (Silurana) tropicalis
P41233	ATP-binding cassette, sub-family A (ABC1), member 1	Mus musculus
A2AAY5	SH3 and PX domains 2B	Mus musculus
P23787	valosin containing protein	Xenopus laevis
P14316	interferon regulatory factor 2	Homo sapiens
Q13217	DnaJ (Hsp40) homolog, subfamily C, member 3	Homo sapiens
P13280	glycogenin 1	Oryctolagus cuniculus
Q9TR36	phosphatidylinositol transfer protein, beta	Bos taurus
Q66HR2	microtubule-associated protein, RP/EB family, member 1; similar to Microtubule-associated protein RP/EB family member 1 (APC-binding protein EB1) (End-binding protein 1) (EB1)	Rattus norvegicus
Q5I0I9	coenzyme Q10 homolog B (S. cerevisiae)	Rattus norvegicus
Q14155	Rho guanine nucleotide exchange factor (GEF) 7	Homo sapiens
O75351	vacuolar protein sorting 4 homolog B (S. cerevisiae)	Homo sapiens
P35223	Catenin beta	Tripneustes gratilla
Q90YK5	heparanase	Gallus gallus
Q99LB0	deoxynucleotidyltransferase, terminal, interacting protein 1	Mus musculus
P25788	proteasome (prosome, macropain) subunit, alpha type, 3	Homo sapiens
P97717	adrenergic receptor, alpha 1b	Mus musculus
Q24322	Semaphorin-1A	Drosophila melanogaster
Q7YS91	cell cycle progression 2 protein	Sus scrofa
Q8N0X4	citrate lyase beta like	Homo sapiens
O00303	eukaryotic translation initiation factor 3, subunit F; similar to hCG2040283	Homo sapiens
Q5R7A2	asparagine-linked glycosylation 1, beta-1,4-mannosyltransferase homolog (S. cerevisiae)	Pongo abelii
Q96BD6	splA/ryanodine receptor domain and SOCS box containing 1	Homo sapiens
A4II46	Active breakpoint cluster region-related protein	Xenopus (Silurana) tropicalis
Q17QJ5	tetraspanin 5	Bos taurus
Q13371	phosducin-like	Homo sapiens
Q9Y223	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	Homo sapiens
Q9DCT5	stromal cell derived factor 2	Mus musculus
P55115	Nematode AStacin protease	Caenorhabditis elegans
Q9GZR5	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 4	Homo sapiens
O59028	Malate dehydrogenase	Pyrococcus horikoshii
O77245	Nuclear hormone receptor E75	Metapenaeus ensis
Q9GKX2	dehydrogenase/reductase (SDR family) member 4	Oryctolagus cuniculus
Q6PJ21	splA/ryanodine receptor domain and SOCS box containing 3	Homo sapiens
Q96EV8	dystrobrevin binding protein 1	Homo sapiens
Q7Z449	cytochrome P450, family 2, subfamily U, polypeptide 1	Homo sapiens
O95164	ubiquitin-like 3	Homo sapiens
Q99615	DnaJ (Hsp40) homolog, subfamily C, member 7	Homo sapiens
Q9D0K0	TBC1 domain family, member 7	Mus musculus
Q62829	p21 protein (Cdc42/Rac)-activated kinase 3	Rattus norvegicus
P41148	heat shock protein 90kDa beta (Grp94), member 1	Canis lupus
C3XVT5	BRAFLDRAFT_59218	Branchiostoma floridae
Q6P268	hypothetical protein LOC100149967; phosducin-like 3	Danio rerio
P91119	PhosphoDiEsterase	Caenorhabditis elegans
Q13951	core-binding factor, beta subunit	Homo sapiens
P15104	glutamate-ammonia ligase (glutamine synthetase)	Homo sapiens
Q9H0E2	toll interacting protein	Homo sapiens
P54612	protein phosphatase 2 (formerly 2A), regulatory subunit A, alpha isoform	Sus scrofa
Q8TCT9	histocompatibility (minor) 13	Homo sapiens
P31404	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A	Bos taurus
P15170	G1 to S phase transition 1	Homo sapiens
Q5MB13	breast cancer resistance protein	Macaca mulatta
Q96PB1	CAS1 domain containing 1	Homo sapiens
Q0VD26	MORN repeat containing 4	Bos taurus
Q99676	zinc finger protein 184	Homo sapiens
Q1LZB6	cell cycle associated protein 1	Bos taurus
Q5ZLY5	pleckstrin homology domain containing, family F (with FYVE domain) member 2	Gallus gallus
Q6TUG0	DnaJ (Hsp40) homolog, subfamily B, member 11	Rattus norvegicus
Q7T010	zgc:73273	Danio rerio
O95628	CCR4-NOT transcription complex, subunit 4	Homo sapiens
P97524	solute carrier family 27 (fatty acid transporter), member 2	Rattus norvegicus
P00125	cytochrome c-1	Bos taurus
Q3ZBG9	phospholipid scramblase 1	Bos taurus
Q5R4F4	SEC31 homolog A (S. cerevisiae)	Pongo abelii
A5GFY8	phosphoglycerate dehydrogenase	Sus scrofa
Q9HAR2	latrophilin 3	Homo sapiens
Q5VVW2	GTPase activating Rap/RanGAP domain-like 3	Homo sapiens
Q5U5V2	RIKEN cDNA C630028N24 gene	Mus musculus
P35604	coatomer protein complex, subunit zeta 1	Bos taurus
Q9GR88	Eukaryotic peptide chain release factor subunit 1	Polyandrocarpa misakiensis
Q29RM1	solute carrier family 25 (mitochondrial thiamine pyrophosphate carrier), member 19	Bos taurus
Q96MC6	hippocampus abundant transcript 1	Homo sapiens
P91620	still life	Drosophila melanogaster
Q8C0I1	alkylglycerone phosphate synthase	Mus musculus
Q7ZVZ7	similar to Abhydrolase domain-containing protein FAM108C1; zgc:55468	Danio rerio
Q5EB77	RAB18, member RAS oncogene family	Rattus norvegicus
Q13045	flightless I homolog (Drosophila)	Homo sapiens
Q9JIX8	apoptotic chromatin condensation inducer 1	Mus musculus
P51644	hypothetical protein LOC398551	Xenopus laevis
Q498L0	hypothetical protein MGC114633	Xenopus laevis
Q01063	phosphodiesterase 4D, cAMP specific	Mus musculus
O88831	calcium/calmodulin-dependent protein kinase kinase 2, beta	Rattus norvegicus
Q9DFZ4	Churchill protein	Xenopus laevis
Q6DEL2	cleft lip and palate associated transmembrane protein 1	Danio rerio
Q8N5U6	ring finger protein 10	Homo sapiens
Q5I0R4	hypothetical LOC496912	Xenopus (Silurana) tropicalis
P55345	protein arginine methyltransferase 2	Homo sapiens
Q38SD2	leucine-rich repeat kinase 1	Homo sapiens
B0FYY4	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	Ovis aries
Q91YR1	twinfilin, actin-binding protein, homolog 1 (Drosophila); predicted gene 4887	Mus musculus
Q9VGY6	Protein skeletor; DOMON domain-containing protein CG14681	Drosophila melanogaster
Q00685	Complement C3	Lethenteron japonicum
Q9PWA0	regulator of G-protein signaling 17	Gallus gallus
P05689	cathepsin Z	Bos taurus
O77656	matrix metallopeptidase 13 (collagenase 3)	Bos taurus
Q08E66	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2	Bos taurus
B5DE73	hypothetical protein LOC100216215	Xenopus (Silurana) tropicalis
Q2T9X2	chaperonin containing TCP1, subunit 4 (delta)	Bos taurus
Q6GNG8	MGC82814 protein	Xenopus laevis
Q9WVA3	budding uninhibited by benzimidazoles 3 homolog (S. cerevisiae)	Mus musculus
