Contig,Blastx_spID,Blastx_Description,Blastx_e-value,DEG_log2FoldChange,DEG_padj,Enriched_GO_Terms
Phel_contig_17781,,,,,,
Phel_contig_17782,,,,,,
Phel_contig_17783,Q9Y2U5,Mitogen-activated protein kinase kinase kinase 2 (EC 2.7.11.25) (MAPK/ERK kinase kinase 2) (MEK kinase 2) (MEKK 2),8.00E-19,,,
Phel_contig_17784,,,,,,
Phel_contig_17785,,,,,,
Phel_contig_17786,,,,,,
Phel_contig_17787,P57740,Nuclear pore complex protein Nup107 (107 kDa nucleoporin) (Nucleoporin Nup107),5.00E-79,,,
Phel_contig_17788,,,,,,
Phel_contig_17789,,,,,,
Phel_contig_1779,,,,,,
Phel_contig_17790,P57003,Protein TonB,4.00E-07,,,
Phel_contig_17791,,,,,,
Phel_contig_17792,,,,,,
Phel_contig_17793,P22897,Macrophage mannose receptor 1 (MMR) (C-type lectin domain family 13 member D) (C-type lectin domain family 13 member D-like) (Macrophage mannose receptor 1-like protein 1) (CD antigen CD206),6.00E-08,,,
Phel_contig_17794,,,,,,
Phel_contig_17796,,,,,,
Phel_contig_17797,,,,,,
Phel_contig_17799,,,,,,
Phel_contig_178,P20825,Retrovirus-related Pol polyprotein from transposon 297 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease],1.00E-18,,,
Phel_contig_1780,Q8BUJ9,Low-density lipoprotein receptor-related protein 12 (LRP-12),2.00E-08,-3.852332468,2.06E-12,
Phel_contig_17800,Q60809,CCR4-NOT transcription complex subunit 7 (EC 3.1.13.4) (CCR4-associated factor 1) (CAF-1),2.00E-142,,,
Phel_contig_17801,Q8K3X2,"GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase) (Protein FX) (Red cell NADP(H)-binding protein)",2.00E-154,,,
Phel_contig_17802,,,,,,
Phel_contig_17803,Q9ZFV8,NADP-dependent malic enzyme (NADP-ME) (EC 1.1.1.40),8.00E-162,,,
Phel_contig_17804,,,,4.126240645,0.004957237,
Phel_contig_17805,,,,,,
Phel_contig_17806,Q49117,Uncharacterized oxidoreductase MexAM1_META1p0182 (EC 1.-.-.-) (ORFC),1.00E-30,,,
Phel_contig_17807,,,,,,
Phel_contig_17808,,,,-2.781047823,7.56E-06,
Phel_contig_17809,Q28BM0,Dymeclin,3.00E-144,1.892255437,0.015930239,
Phel_contig_1781,P35479,Leukocyte cysteine proteinase inhibitor 1 (PLCPI) (Stefin-D1),7.00E-17,,,
Phel_contig_17810,,,,,,
Phel_contig_17811,,,,,,
Phel_contig_17812,,,,,,
Phel_contig_17813,,,,,,
Phel_contig_17814,,,,,,
Phel_contig_17815,Q9Y6A2,Cholesterol 24-hydroxylase (CH24H) (EC 1.14.13.98) (Cytochrome P450 46A1),2.00E-34,,,
Phel_contig_17816,,,,,,
Phel_contig_17817,,,,4.072727392,0.002217422,
Phel_contig_17818,,,,,,
Phel_contig_17819,Q4R7K1,mRNA cap guanine-N7 methyltransferase (EC 2.1.1.56) (RG7MT1) (mRNA (guanine-N(7)-)-methyltransferase) (mRNA cap methyltransferase),7.00E-126,,,
Phel_contig_17820,A0QVX9,tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase),3.00E-64,,,
Phel_contig_17821,O94763,Unconventional prefoldin RPB5 interactor 1 (Protein NNX3) (Protein phosphatase 1 regulatory subunit 19) (RNA polymerase II subunit 5-mediating protein) (RPB5-mediating protein),1.00E-24,,,
Phel_contig_17822,,,,,,
Phel_contig_17823,,,,3.039510702,0.00359288,
Phel_contig_17824,,,,,,
Phel_contig_17825,,,,,,
Phel_contig_17827,A7MBB8,Docking protein 2 (Downstream of tyrosine kinase 2),3.00E-26,,,
Phel_contig_17828,,,,,,
Phel_contig_17829,,,,,,
Phel_contig_1783,Q23023,Serine/threonine-protein kinase unc-51 (EC 2.7.11.1) (Uncoordinated protein 51),2.00E-33,,,
Phel_contig_17830,Q6DJ06,LIM domain transcription factor LMO4.2 (LIM domain only protein 4.2) (LMO-4.2),1.00E-50,-1.422546329,0.016581937,
Phel_contig_17831,Q9K1I8,Elongation factor G (EF-G),2.00E-171,,,
Phel_contig_17832,,,,,,
Phel_contig_17833,,,,-3.798253683,0.008429439,
Phel_contig_17834,,,,,,
Phel_contig_17835,,,,,,
Phel_contig_17836,,,,,,
Phel_contig_17837,,,,,,
Phel_contig_17838,Q5R6C9,Ubiquitin-conjugating enzyme E2 variant 2,5.00E-26,,,
Phel_contig_17839,,,,,,
Phel_contig_1784,Q8JFP1,Eukaryotic initiation factor 4A-II (eIF-4A-II) (eIF4A-II) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-2),0,1.776427646,0.003010334,
Phel_contig_17840,,,,,,
Phel_contig_17841,P12270,Nucleoprotein TPR (Megator) (NPC-associated intranuclear protein) (Translocated promoter region protein),3.00E-41,,,
Phel_contig_17842,,,,,,
Phel_contig_17843,P0AE81,Magnesium and cobalt efflux protein CorC,1.00E-64,,,
Phel_contig_17844,,,,-2.066413713,0.008137382,
Phel_contig_17845,,,,,,
Phel_contig_17846,Q96I76,G patch domain-containing protein 3,3.00E-26,,,
Phel_contig_17847,Q5EAD4,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial (SBCAD) (EC 1.3.8.5) (2-methyl branched chain acyl-CoA dehydrogenase) (2-MEBCAD) (2-methylbutyryl-coenzyme A dehydrogenase) (2-methylbutyryl-CoA dehydrogenase)",3.00E-174,,,
Phel_contig_17848,,,,,,
Phel_contig_17849,,,,,,
Phel_contig_1785,,,,1.73397458,0.019212023,
Phel_contig_17850,Q24488,Tyrosine-protein kinase transmembrane receptor Ror (dRor) (EC 2.7.10.1),3.00E-42,,,
Phel_contig_17851,,,,,,
Phel_contig_17852,Q3T8J9,GON-4-like protein (GON-4 homolog),1.00E-39,,,
Phel_contig_17853,,,,,,
Phel_contig_17854,,,,-2.447475662,0.003875348,
Phel_contig_17855,,,,,,
Phel_contig_17856,,,,-2.854544165,0.038711201,
Phel_contig_17857,P65633,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) (Component of peroxynitrite reductase/peroxidase complex) (Component of PNR/P) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (Pyruvate dehydrogenase complex component E2) (PDH component E2),2.00E-38,,,
Phel_contig_17858,Q9ZAE8,"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)",8.00E-44,,,
Phel_contig_17859,,,,,,
Phel_contig_1786,,,,,,
Phel_contig_17860,,,,,,
Phel_contig_17861,Q8VCC1,15-hydroxyprostaglandin dehydrogenase [NAD(+)] (15-PGDH) (EC 1.1.1.141) (Prostaglandin dehydrogenase 1),3.00E-22,,,
Phel_contig_17862,,,,,,
Phel_contig_17863,,,,,,
Phel_contig_17864,,,,,,
Phel_contig_17866,,,,,,
Phel_contig_17867,A1A4M4,Putative deoxyribonuclease TATDN3 (EC 3.1.21.-),1.00E-88,,,
Phel_contig_17868,,,,,,
Phel_contig_17869,,,,,,
Phel_contig_1787,,,,,,
Phel_contig_17870,Q9JJZ1,"Solute carrier family 2, facilitated glucose transporter member 8 (Glucose transporter type 8) (GLUT-8) (Glucose transporter type X1)",4.00E-06,,,
Phel_contig_17871,,,,-2.624725918,0.024662688,
Phel_contig_17872,,,,,,
Phel_contig_17873,A1KVV9,50S ribosomal protein L27,2.00E-42,,,
Phel_contig_17874,,,,,,
Phel_contig_17875,Q00168,Calcium/calmodulin-dependent protein kinase type II alpha chain (CaM-kinase II alpha chain) (EC 2.7.11.17),0,,,
Phel_contig_17876,,,,,,
Phel_contig_17877,P0AFU9,Riboflavin synthase (RS) (EC 2.5.1.9),1.00E-61,,,
Phel_contig_17878,,,,,,
Phel_contig_17879,,,,,,
Phel_contig_1788,A5HNF6,Myeloid differentiation primary response protein MyD88,6.00E-69,1.007477903,0.038736825,
Phel_contig_17880,,,,,,
Phel_contig_17881,,,,,,
Phel_contig_17882,P42346,Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin target protein 1) (RAPT1),2.00E-69,,,
Phel_contig_17883,,,,,,
Phel_contig_17884,,,,,,
Phel_contig_17885,,,,,,
Phel_contig_17886,Q645M6,Protein FADD (FAS-associated death domain protein) (FAS-associating death domain-containing protein),3.00E-07,,,
Phel_contig_17887,,,,,,
Phel_contig_17888,Q6GND3,Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6-A (EC 1.14.11.-) (Histone arginine demethylase JMJD6-A) (JmjC domain-containing protein 6-A) (Jumonji domain-containing protein 6-A) (Lysyl-hydroxylase JMJD6-A) (Peptide-lysine 5-dioxygenase JMJD6-A) (Phosphatidylserine receptor-A) (Protein PTDSR-A),5.00E-57,,,
Phel_contig_1789,,,,,,
Phel_contig_17890,,,,,,
Phel_contig_17891,,,,,,
Phel_contig_17892,,,,,,
Phel_contig_17893,,,,,,
Phel_contig_17894,,,,,,
Phel_contig_17895,Q6NVR9,ATPase family AAA domain-containing protein 3,6.00E-78,,,
Phel_contig_17896,,,,,,
Phel_contig_17897,,,,,,
Phel_contig_17898,,,,2.803547319,0.023724248,
Phel_contig_17899,,,,,,
Phel_contig_179,,,,,,
Phel_contig_1790,,,,,,
Phel_contig_17900,O08774,Regulator of G-protein signaling 12 (RGS12),5.00E-24,,,
Phel_contig_17901,,,,,,
Phel_contig_17902,,,,,,
Phel_contig_17903,,,,,,
Phel_contig_17904,,,,,,
Phel_contig_17905,A4QFM2,UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase),1.00E-61,,,
Phel_contig_17906,Q8BVH9,Methyltransferase-like protein 6 (EC 2.1.1.-),5.00E-25,,,
Phel_contig_17907,,,,,,
Phel_contig_17908,,,,,,
Phel_contig_17909,,,,,,
Phel_contig_1791,,,,,,
Phel_contig_17910,,,,,,
Phel_contig_17911,,,,,,
Phel_contig_17912,,,,,,
Phel_contig_17913,,,,,,
Phel_contig_17914,,,,,,
Phel_contig_17915,P97789,5'-3' exoribonuclease 1 (mXRN1) (EC 3.1.13.-) (Protein Dhm2) (Strand-exchange protein 1 homolog),1.00E-37,,,
Phel_contig_17916,Q9GK12,Peptidoglycan recognition protein 1 (Peptidoglycan recognition protein short) (PGRP-S),4.00E-06,,,
Phel_contig_17917,,,,,,
Phel_contig_17918,Q9UBC2,Epidermal growth factor receptor substrate 15-like 1 (Eps15-related protein) (Eps15R),2.00E-77,,,
Phel_contig_17919,,,,,,
Phel_contig_1792,,,,,,
Phel_contig_17920,Q924C6,Lysyl oxidase homolog 4 (EC 1.4.3.-) (Lysyl oxidase-like protein 4) (Lysyl oxidase-related protein C),5.00E-65,,,
Phel_contig_17921,Q761V0,Sodium- and chloride-dependent glycine transporter 2 (GlyT-2) (GlyT2) (Solute carrier family 6 member 5),3.00E-55,,,
Phel_contig_17922,Q922Q5,Adenosine 3'-phospho 5'-phosphosulfate transporter 2 (PAPS transporter 2) (Solute carrier family 35 member B3),5.00E-121,,,
Phel_contig_17923,,,,,,
Phel_contig_17924,,,,,,
Phel_contig_17926,Q9D0K0,TBC1 domain family member 7,4.00E-42,-3.352262708,0.003702709,
Phel_contig_17927,,,,,,
Phel_contig_17928,,,,,,
Phel_contig_17929,Q9H0E3,Histone deacetylase complex subunit SAP130 (130 kDa Sin3-associated polypeptide) (Sin3-associated polypeptide p130),9.00E-19,,,
Phel_contig_1793,,,,,,
Phel_contig_17931,Q8GN33,Probable replication protein rep,2.00E-31,,,
Phel_contig_17932,,,,,,
Phel_contig_17933,,,,,,
Phel_contig_17934,,,,,,
Phel_contig_17935,Q62441,Transducin-like enhancer protein 4 (Grg-4) (Groucho-related protein 4),1.00E-35,,,
Phel_contig_17936,,,,,,
Phel_contig_17937,,,,,,
Phel_contig_17938,,,,,,
Phel_contig_17939,,,,,,
Phel_contig_1794,,,,,,
Phel_contig_17940,,,,,,
Phel_contig_17941,,,,,,
Phel_contig_17942,,,,,,
Phel_contig_17943,,,,,,
Phel_contig_17944,,,,,,
Phel_contig_17945,,,,,,
Phel_contig_17946,,,,,,
Phel_contig_17947,,,,2.192003153,0.02003929,
Phel_contig_17948,,,,,,
Phel_contig_17949,,,,2.7741,0.004884137,
Phel_contig_1795,,,,,,
Phel_contig_17952,,,,,,
Phel_contig_17953,,,,-1.932395508,0.040632463,
Phel_contig_17954,,,,,,
Phel_contig_17955,,,,,,
Phel_contig_17956,,,,,,
Phel_contig_17957,A6T4Z7,Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS),1.00E-27,,,
Phel_contig_17958,,,,,,
Phel_contig_17959,,,,,,
Phel_contig_1796,,,,,,
Phel_contig_17960,,,,,,
Phel_contig_17961,,,,,,
Phel_contig_17962,,,,-2.292378942,0.000730597,
Phel_contig_17963,P98198,Probable phospholipid-transporting ATPase ID (EC 3.6.3.1) (ATPase class I type 8B member 2),7.00E-20,3.018558485,0.021873575,
Phel_contig_17964,Q9W539,Hormone receptor 4 (dHR4) (Nuclear receptor subfamily 6 group A member 2),5.00E-46,3.695565326,0.003860237,
Phel_contig_17965,O43264,Centromere/kinetochore protein zw10 homolog,3.00E-169,,,
Phel_contig_17966,Q9BT25,HAUS augmin-like complex subunit 8 (HEC1/NDC80-interacting centrosome-associated protein 1) (Sarcoma antigen NY-SAR-48),4.00E-08,,,
Phel_contig_17967,,,,,,
Phel_contig_17968,,,,,,
Phel_contig_17969,,,,,,
Phel_contig_1797,,,,1.361070456,0.00311018,
Phel_contig_17970,Q9H8Y8,Golgi reassembly-stacking protein 2 (GRS2) (Golgi phosphoprotein 6) (GOLPH6) (Golgi reassembly-stacking protein of 55 kDa) (GRASP55) (p59),1.00E-36,,,
Phel_contig_17971,,,,,,
Phel_contig_17972,F6ZQ54,Tripartite motif containing 13,2.00E-10,,,
Phel_contig_17973,Q66KB9,Biogenesis of lysosome-related organelles complex 1 subunit 2 (BLOC-1 subunit 2),3.00E-31,,,
Phel_contig_17974,A0JNJ3,Spartin,2.00E-42,,,
Phel_contig_17975,,,,,,
Phel_contig_17976,,,,,,
Phel_contig_17977,Q07537,Polypeptide N-acetylgalactosaminyltransferase 1 (EC 2.4.1.41) (Polypeptide GalNAc transferase 1) (GalNAc-T1) (pp-GaNTase 1) (Protein-UDP acetylgalactosaminyltransferase 1) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 1) [Cleaved into: Polypeptide N-acetylgalactosaminyltransferase 1 soluble form],0,,,
Phel_contig_17978,Q5SNX7,Galactocerebrosidase (GALCERase) (EC 3.2.1.46) (Galactosylceramidase),0,,,
Phel_contig_17979,P70473,Alpha-methylacyl-CoA racemase (EC 5.1.99.4) (2-arylpropionyl-CoA epimerase) (2-methylacyl-CoA racemase),1.00E-148,-2.641371249,0.001280492,
Phel_contig_1798,,,,,,
Phel_contig_17980,Q13206,Probable ATP-dependent RNA helicase DDX10 (EC 3.6.4.13) (DEAD box protein 10),6.00E-99,,,
Phel_contig_17981,,,,,,
Phel_contig_17982,,,,,,
Phel_contig_17983,,,,,,
Phel_contig_17984,,,,,,
Phel_contig_17985,,,,,,
Phel_contig_17986,,,,,,
Phel_contig_17987,,,,,,
Phel_contig_17988,,,,,,
Phel_contig_17989,A0JNK6,Transmembrane protein 243,1.00E-30,,,
Phel_contig_1799,,,,6.810938884,3.13E-11,
Phel_contig_17990,,,,,,
Phel_contig_17991,Q9QYF1,Retinol dehydrogenase 11 (EC 1.1.1.300) (Androgen-regulated short-chain dehydrogenase/reductase 1) (Cell line MC/9.IL4-derived protein 1) (M42C60) (Prostate short-chain dehydrogenase/reductase 1) (Retinal reductase 1) (RalR1) (Short-chain aldehyde dehydrogenase) (SCALD),2.00E-94,,,
Phel_contig_17992,,,,,,
Phel_contig_17993,Q0IJ05,Oxysterol-binding protein-related protein 9,3.00E-80,,,
Phel_contig_17994,,,,,,
Phel_contig_17995,,,,,,
Phel_contig_17996,,,,,,
Phel_contig_17997,,,,,,
Phel_contig_17998,A1T577,60 kDa chaperonin 2 (GroEL protein 2) (Protein Cpn60 2),6.00E-62,,,
Phel_contig_17999,Q9CQ61,Protein unc-50 homolog (Periodontal ligament-specific protein 22) (PDLs22),1.00E-70,,,
Phel_contig_18,P96202,Phthiocerol synthesis polyketide synthase type I PpsC (Beta-ketoacyl-acyl-carrier-protein synthase I) (EC 2.3.1.41),6.00E-76,10.85760282,1.76E-72,
Phel_contig_180,,,,,,
Phel_contig_1800,,,,3.526923163,1.30E-05,
Phel_contig_18000,,,,,,
Phel_contig_18001,,,,,,
Phel_contig_18002,,,,,,
Phel_contig_18003,,,,,,
Phel_contig_18004,,,,,,
Phel_contig_18005,,,,,,
Phel_contig_18006,,,,,,
Phel_contig_18007,,,,,,
Phel_contig_18008,,,,,,
Phel_contig_18009,,,,,,
Phel_contig_1801,Q58CV6,Kelch domain-containing protein 3,8.00E-133,,,
Phel_contig_18010,,,,,,
Phel_contig_18011,,,,,,
Phel_contig_18012,,,,,,
Phel_contig_18013,,,,,,
Phel_contig_18014,,,,,,
Phel_contig_18015,Q61503,5'-nucleotidase (5'-NT) (EC 3.1.3.5) (Ecto-5'-nucleotidase) (CD antigen CD73),1.00E-65,,,
Phel_contig_18016,,,,,,
Phel_contig_18017,,,,,,
Phel_contig_18018,,,,,,
Phel_contig_18019,Q9K0X8,Cell division protein FtsA,6.00E-49,,,
Phel_contig_1802,B1AK53,Espin (Autosomal recessive deafness type 36 protein) (Ectoplasmic specialization protein),3.00E-24,,,
Phel_contig_18020,,,,,,
Phel_contig_18021,,,,,,
Phel_contig_18022,Q5T2R2,Decaprenyl-diphosphate synthase subunit 1 (EC 2.5.1.91) (All-trans-decaprenyl-diphosphate synthase subunit 1) (Decaprenyl pyrophosphate synthase subunit 1) (Trans-prenyltransferase 1) (TPT 1),3.00E-78,,,
Phel_contig_18023,Q9Y519,Transmembrane protein 184B (Putative MAPK-activating protein FM08),3.00E-71,,,
Phel_contig_18024,,,,,,
Phel_contig_18025,,,,3.184441709,0.019995914,
Phel_contig_18026,Q5RC70,DnaJ homolog subfamily C member 11,7.00E-39,,,
Phel_contig_18027,Q13724,Mannosyl-oligosaccharide glucosidase (EC 3.2.1.106) (Processing A-glucosidase I),2.00E-65,,,
Phel_contig_18029,,,,,,
Phel_contig_1803,,,,1.581400341,0.000480434,
Phel_contig_18030,,,,,,
Phel_contig_18031,,,,,,
Phel_contig_18032,,,,,,
Phel_contig_18033,,,,,,
Phel_contig_18034,Q9D291,Desumoylating isopeptidase 2 (DeSI-2) (EC 3.4.-.-) (PPPDE peptidase domain-containing protein 1) (Protein FAM152A),2.00E-58,,,
Phel_contig_18035,,,,-2.068603575,0.010325771,
Phel_contig_18036,,,,,,
Phel_contig_18037,,,,-1.955056143,0.033381731,
Phel_contig_18038,,,,,,
Phel_contig_18039,Q86TI0,TBC1 domain family member 1,4.00E-173,,,
Phel_contig_1804,,,,-1.339502911,0.026329581,
Phel_contig_18040,,,,,,
Phel_contig_18041,,,,,,
Phel_contig_18042,,,,,,
Phel_contig_18043,,,,-1.856020664,0.031060032,
Phel_contig_18044,,,,,,
Phel_contig_18045,,,,,,
Phel_contig_18046,Q5F389,WW domain-containing oxidoreductase (EC 1.1.1.-),7.00E-107,,,
Phel_contig_18047,Q7SY23,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial (P5C dehydrogenase) (EC 1.2.1.88) (Aldehyde dehydrogenase family 4 member A1) (L-glutamate gamma-semialdehyde dehydrogenase)",0,,,
Phel_contig_18048,,,,,,
Phel_contig_18049,,,,,,
Phel_contig_1805,Q6PZ02,Cysteine protease ATG4B (EC 3.4.22.-) (Autophagy-related cysteine endopeptidase 2B) (Autophagin-2B) (cAut2B) (Autophagy-related protein 4 homolog B),3.00E-130,,,
Phel_contig_18050,Q9NZJ4,Sacsin (DnaJ homolog subfamily C member 29) (DNAJC29),2.00E-19,,,
Phel_contig_18051,,,,-2.744229025,8.73E-07,
Phel_contig_18052,,,,,,
Phel_contig_18053,O09173,"Homogentisate 1,2-dioxygenase (EC 1.13.11.5) (Homogentisate oxygenase) (Homogentisic acid oxidase) (Homogentisicase)",0,,,
Phel_contig_18055,,,,,,
Phel_contig_18056,,,,,,
Phel_contig_18057,,,,,,
Phel_contig_18058,,,,2.344203692,0.027880432,
Phel_contig_18059,,,,,,
Phel_contig_1806,Q6AYT4,Protein FAM122A,3.00E-20,,,
Phel_contig_18060,,,,,,
Phel_contig_18061,,,,,,
Phel_contig_18062,Q7L211,Alpha/beta hydrolase domain-containing protein 13 (Abhydrolase domain-containing protein 13) (EC 3.-.-.-),4.00E-14,-2.266035651,0.037817616,
Phel_contig_18063,Q10CE4,Peroxisomal (S)-2-hydroxy-acid oxidase GLO1 (EC 1.1.3.15) (Glycolate oxidase 1) (GOX 1) (OsGLO1) (Short chain alpha-hydroxy acid oxidase GLO1),3.00E-33,,,
Phel_contig_18064,,,,,,
Phel_contig_18065,,,,,,
Phel_contig_18066,,,,,,
Phel_contig_18067,,,,-2.353688724,0.026360521,
Phel_contig_18068,,,,,,
Phel_contig_18069,,,,,,
Phel_contig_1807,,,,,,
Phel_contig_18070,Q9JMJ2,F-box/WD repeat-containing protein 4 (F-box and WD-40 domain-containing protein 4) (Protein hagoromo),5.00E-75,,,
Phel_contig_18071,P46681,"D-lactate dehydrogenase [cytochrome] 2, mitochondrial (EC 1.1.2.4) (Actin-interacting protein 2) (D-lactate ferricytochrome C oxidoreductase) (D-LCR)",6.00E-17,,,
Phel_contig_18072,Q5F7A0,Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT),2.00E-31,,,
Phel_contig_18073,,,,,,
Phel_contig_18074,,,,,,
Phel_contig_18075,,,,,,
Phel_contig_18076,,,,,,
Phel_contig_18077,,,,4.834911318,3.76E-05,
Phel_contig_18078,Q02874,Core histone macro-H2A.1 (Histone macroH2A1) (mH2A1) (H2A.y) (H2A/y),6.00E-124,,,
Phel_contig_18079,P13607,Sodium/potassium-transporting ATPase subunit alpha (Na(+)/K(+) ATPase alpha subunit) (EC 3.6.3.9) (Sodium pump subunit alpha),0,,,
Phel_contig_1808,Q9BXW4,Microtubule-associated proteins 1A/1B light chain 3C (Autophagy-related protein LC3 C) (Autophagy-related ubiquitin-like modifier LC3 C) (MAP1 light chain 3-like protein 3) (MAP1A/MAP1B light chain 3 C) (MAP1A/MAP1B LC3 C) (Microtubule-associated protein 1 light chain 3 gamma),2.00E-53,4.986374276,2.59E-14,
Phel_contig_18080,P59217,Putative terminase large subunit,2.00E-17,,,
Phel_contig_18081,Q9Y485,DmX-like protein 1 (X-like 1 protein),1.00E-114,,,
Phel_contig_18082,Q5M7T4,Protein YIPF4 (YIP1 family member 4),5.00E-57,,,
Phel_contig_18083,,,,-3.176848859,0.002370352,
Phel_contig_18084,Q5U5V2,Hydroxylysine kinase (5-hydroxy-L-lysine kinase) (EC 2.7.1.81) (Aminoglycoside phosphotransferase domain-containing protein 1),5.00E-53,-2.592191221,0.000422778,
Phel_contig_18085,,,,-2.633958301,0.005003061,
Phel_contig_18086,,,,,,
Phel_contig_18087,,,,,,
Phel_contig_18088,,,,,,
Phel_contig_18089,C0HBB2,Lysosomal protein NCU-G1,2.00E-60,,,
Phel_contig_1809,,,,6.781394179,2.75E-20,
Phel_contig_18090,,,,,,
Phel_contig_18091,,,,,,
Phel_contig_18092,,,,,,
Phel_contig_18093,Q7L804,Rab11 family-interacting protein 2 (Rab11-FIP2) (NRip11),6.00E-09,,,
Phel_contig_18094,,,,,,
Phel_contig_18095,,,,,,
Phel_contig_18096,,,,,,
Phel_contig_18097,,,,,,
Phel_contig_18098,,,,,,
Phel_contig_18099,,,,,,
Phel_contig_181,,,,,,
Phel_contig_1810,,,,-1.457044132,0.007527951,
Phel_contig_18100,,,,,,
Phel_contig_18101,Q08DI8,Pseudouridylate synthase 7 homolog (EC 5.4.99.-),5.00E-156,,,
Phel_contig_18102,,,,,,
Phel_contig_18103,,,,,,
Phel_contig_18104,,,,-3.774245015,8.65E-07,
Phel_contig_18105,,,,,,
Phel_contig_18106,P70298,Homeobox protein cut-like 2 (Homeobox protein Cux-2),1.00E-10,,,
Phel_contig_18107,,,,,,
Phel_contig_18108,,,,,,
Phel_contig_18109,,,,,,
Phel_contig_1811,Q8N987,N-terminal EF-hand calcium-binding protein 1 (EF-hand calcium-binding protein 1) (Neuronal calcium-binding protein 1),2.00E-73,,,
Phel_contig_18110,,,,,,
Phel_contig_18111,Q32NS4,E3 ubiquitin-protein ligase arih1 (EC 6.3.2.-) (Protein ariadne-1 homolog) (ARI-1),4.00E-129,,,
Phel_contig_18112,,,,,,
Phel_contig_18113,,,,,,
Phel_contig_18114,,,,,,
Phel_contig_18115,,,,,,
Phel_contig_18116,,,,,,
Phel_contig_18117,Q80VJ2,Steroid receptor RNA activator 1 (Steroid receptor RNA activator protein) (SRAP),3.00E-10,,,
Phel_contig_18118,P50430,Arylsulfatase B (ASB) (EC 3.1.6.12) (N-acetylgalactosamine-4-sulfatase) (G4S),3.00E-127,,,
Phel_contig_18119,,,,,,
Phel_contig_1812,,,,,,
Phel_contig_18120,Q14703,Membrane-bound transcription factor site-1 protease (EC 3.4.21.112) (Endopeptidase S1P) (Subtilisin/kexin-isozyme 1) (SKI-1),3.00E-150,,,
Phel_contig_18121,,,,,,
Phel_contig_18122,Q9W0T1,Nucleosome-remodeling factor subunit NURF301 (Enhancer of bithorax) (Nucleosome-remodeling factor 215 kDa subunit) (NURF-215),1.00E-82,,,
Phel_contig_18123,,,,,,
Phel_contig_18124,,,,,,
Phel_contig_18125,,,,,,
Phel_contig_18126,Q7TNG8,"Probable D-lactate dehydrogenase, mitochondrial (DLD) (Lactate dehydrogenase D) (EC 1.1.2.4)",0,,,
Phel_contig_18127,P11084,Serine/threonine-protein phosphatase 4 catalytic subunit (PP4C) (Pp4) (EC 3.1.3.16) (Protein phosphatase X) (PP-X),2.00E-63,,,
Phel_contig_18128,Q502B0,"39S ribosomal protein L41, mitochondrial (L41mt) (MRP-L41)",5.00E-15,,,
Phel_contig_18129,,,,-2.622044181,0.002614519,
Phel_contig_18130,Q9HHC4,DNA ligase (EC 6.5.1.1) (Lig(Tk)) (Polydeoxyribonucleotide synthase [ATP]),1.00E-09,,,
Phel_contig_18131,P28337,"Aminomethyltransferase, mitochondrial (EC 2.1.2.10) (Glycine cleavage system T protein) (GCVT)",2.00E-142,,,
Phel_contig_18132,Q9UI26,Importin-11 (Imp11) (Ran-binding protein 11) (RanBP11),1.00E-93,,,
Phel_contig_18133,,,,,,
Phel_contig_18135,,,,,,
Phel_contig_18136,,,,,,
Phel_contig_18137,O43897,Tolloid-like protein 1 (EC 3.4.24.-),2.00E-13,-1.580159295,0.010532849,
Phel_contig_18138,,,,,,
Phel_contig_18139,,,,,,
Phel_contig_18140,,,,,,
Phel_contig_18141,,,,,,
Phel_contig_18142,O42611,Protein HIRA (TUP1-like enhancer of split protein 1),2.00E-25,,,
Phel_contig_18143,,,,,,
Phel_contig_18144,,,,,,
Phel_contig_18145,,,,,,
Phel_contig_18146,,,,,,
Phel_contig_18147,,,,,,
Phel_contig_18148,,,,,,
Phel_contig_18149,,,,,,
